,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
162,kahului,40,US,1650896923,81,20.8947,-156.47,296.4,7.2
163,ketchikan,100,US,1650897767,93,55.3422,-131.6461,278.41,0.0
164,russell,0,US,1650897562,78,32.3502,-85.1999,297.57,1.54
165,srednekolymsk,87,RU,1650897767,99,67.45,153.6833,256.7,2.97
166,airai,100,TL,1650897479,79,-8.9266,125.4092,287.89,0.55
167,gwadar,0,PK,1650897768,76,25.1216,62.3254,301.31,5.03
168,vaxjo,0,SE,1650897768,34,56.8777,14.8091,287.18,3.6
169,kruisfontein,80,ZA,1650897490,66,-34.0033,24.7314,291.42,6.0
170,lazaro cardenas,1,MX,1650897279,57,17.9583,-102.2,299.59,0.23
171,ingham,100,US,1650897769,66,42.6,-84.3833,286.54,2.06
172,nanortalik,79,GL,1650897450,91,60.1432,-45.2371,274.64,5.71
173,talnakh,88,RU,1650897769,100,69.4865,88.3972,256.6,0.99
174,tarauaca,98,BR,1650897770,90,-8.1614,-70.7656,300.32,0.64
175,sao lourenco do sul,88,BR,1650897770,53,-31.3653,-51.9783,300.86,5.63
176,alyangula,28,AU,1650897770,94,-13.8483,136.4192,298.08,0.51
177,sarahan,77,IN,1650897771,57,31.5167,77.8,285.66,2.75
178,sao joao da barra,34,BR,1650897264,69,-21.6403,-41.0511,298.2,4.24
179,koshki,80,RU,1650897771,60,54.2091,50.4677,288.29,1.15
180,mujiayingzi,21,CN,1650897569,34,42.1167,118.7833,290.89,6.12
181,suzun,42,RU,1650897772,62,53.7841,82.3116,278.17,2.02
182,aberdeen,100,GB,1650897772,70,57.1437,-2.0981,284.53,2.57
183,sibolga,100,ID,1650897772,90,1.7427,98.7792,298.47,0.7
184,chuy,100,UY,1650897447,96,-33.6971,-53.4616,291.38,3.22
185,tharad,0,IN,1650897596,34,24.3961,71.6267,303.79,3.68
186,cidreira,91,BR,1650897467,63,-30.1811,-50.2056,297.03,7.04
187,port lincoln,91,AU,1650897525,74,-34.7333,135.8667,292.17,5.56
188,mabaruma,39,GY,1650897773,61,8.2,-59.7833,304.19,1.94
189,hambantota,100,LK,1650897533,100,6.1241,81.1185,300.34,1.54
190,lunca muresului,75,RO,1650897773,88,46.4333,23.9,287.32,4.63
191,tessalit,0,ML,1650897774,10,20.1986,1.0114,308.21,8.46
192,chumphon,30,TH,1650897774,85,10.3333,98.8333,297.38,0.2
193,vostok,100,RU,1650897481,80,46.4856,135.8833,276.43,1.67
194,ternate,86,ID,1650897775,78,0.8,127.4,300.76,0.91
195,sovetskiy,100,RU,1650897775,97,61.3614,63.5842,275.23,1.64
196,vrede,36,ZA,1650897775,47,-27.4257,29.1659,289.94,4.3
197,port-gentil,40,GA,1650897775,74,-0.7193,8.7815,303.13,5.66
198,comodoro rivadavia,0,AR,1650897516,50,-45.8667,-67.5,283.07,9.77
199,alice springs,22,AU,1650897573,94,-23.7,133.8833,285.9,0.0
200,torbay,100,CA,1650897502,97,47.6666,-52.7314,276.8,5.81
201,yulara,40,AU,1650897776,59,-25.2406,130.9889,291.06,4.12
202,xiangxiang,93,CN,1650897776,95,27.7333,112.5333,294.77,2.85
203,kavieng,32,PG,1650897431,72,-2.5744,150.7967,300.86,4.04
204,half moon bay,40,US,1650897436,88,37.4636,-122.4286,285.72,2.57
205,kodiak,100,US,1650897204,65,57.79,-152.4072,276.88,5.14
206,felanitx,37,ES,1650897777,46,39.4696,3.1483,295.62,2.95
207,vestmannaeyjar,20,IS,1650897777,76,63.4427,-20.2734,281.7,4.63
208,khani,2,GE,1650897480,53,41.9563,42.9566,298.91,0.08
209,tilichiki,92,RU,1650897505,88,60.4667,166.1,269.81,5.7
210,adrar,0,MR,1650897537,17,20.5022,-10.0711,305.62,7.04
211,seymchan,99,RU,1650897778,92,62.8833,152.4333,259.33,2.91
212,richards bay,100,ZA,1650897471,90,-28.783,32.0377,293.13,7.01
213,sokolo,0,ML,1650897778,9,14.7328,-6.1219,312.37,5.24
214,kushima,48,JP,1650897779,97,31.4583,131.2333,293.43,0.69
215,krasnoselkup,32,RU,1650897510,92,65.7,82.4667,257.7,2.66
216,guerrero negro,0,MX,1650897432,55,27.9769,-114.0611,292.25,1.49
217,olafsvik,91,IS,1650897549,74,64.8945,-23.7142,280.37,2.56
218,qasigiannguit,99,GL,1650897779,89,68.8193,-51.1922,270.29,0.68
219,bluff,10,NZ,1650897457,66,-46.6,168.3333,283.04,9.57
220,kiama,100,AU,1650897780,93,-34.6833,150.8667,288.92,1.13
221,abu dhabi,0,AE,1650897538,60,24.4667,54.3667,305.21,4.63
222,touros,36,BR,1650897549,61,-5.1989,-35.4608,303.63,6.04
223,lingao,6,CN,1650897780,80,19.9103,109.6859,299.45,3.5
224,chicama,100,PE,1650897781,73,-7.8447,-79.1469,288.45,2.29
225,mercedes,11,AR,1650897781,46,-34.6515,-59.4307,295.95,7.39
226,havre-saint-pierre,100,CA,1650897781,81,50.2334,-63.5986,278.35,5.14
227,kiunga,100,PG,1650897477,100,-6.1219,141.2906,296.51,1.39
228,korla,100,CN,1650897441,35,41.7597,86.1469,292.97,11.49
229,esna,0,EG,1650897782,6,25.2934,32.554,310.16,4.63
230,wajir,93,KE,1650897782,35,1.7471,40.0573,306.86,4.21
231,sitka,20,US,1650897522,87,57.0531,-135.33,277.09,0.0
232,beloha,100,MG,1650897783,64,-25.1667,45.05,298.69,1.04
233,praia da vitoria,20,PT,1650897783,68,38.7333,-27.0667,291.29,7.05
234,paamiut,98,GL,1650897783,87,61.994,-49.6678,272.82,6.17
235,lakes entrance,72,AU,1650897784,93,-37.8811,147.981,282.68,1.24
